mod_hex_id,courseID,module.type,desc,L2,L2label,L1,L1label,order,unq_stu,unq_stu.1,unq_stu.2,events,events.1,events.2,totalTime,totalTime.1,totalTime.2
74ac8efc3d764027b5e1250e91447312,MITProfessionalX+SysEngxB1+3T2016,html+block,,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),5,1560,1353,207,8081,7146,935,24810.08878,21490.57211,3319.516667
b6e8671646bc43a082d388743a950773,MITProfessionalX+SysEngxB1+3T2016,html+block,,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),6,0,0,0,0,0,0,0,0,0
1a8e179d17324618a8595df0f45daf1e,MITProfessionalX+SysEngxB1+3T2016,problem+block,Question #1,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),7,1544,1353,191,1549,1353,196,3150.033333,2789.483333,360.55
e6c26dfc22fa402e90d8331751374b98,MITProfessionalX+SysEngxB1+3T2016,problem+block,Question #2,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),8,1543,1353,190,1545,1353,192,1696.016667,1386.916666,309.1
6a14c3aae9ea436fa7db56487f1bd46d,MITProfessionalX+SysEngxB1+3T2016,problem+block,Question #3,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),9,1543,1353,190,1545,1354,191,2075.466667,1871.266667,204.2
86b82f161d2641d7822e8265066ee474,MITProfessionalX+SysEngxB1+3T2016,problem+block,Question #4,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),10,1543,1353,190,1544,1353,191,1939.35,1689.85,249.5
aa12167942ea4134ac65d4152096f3fb,MITProfessionalX+SysEngxB1+3T2016,problem+block,Question #5,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),11,1543,1353,190,1545,1353,192,3346.2,2929.183334,417.0166667
639891547dc44f0e9dfad1e39cfe932a,MITProfessionalX+SysEngxB1+3T2016,html+block,,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),12,0,0,0,0,0,0,0,0,0
2571a6cec52749ed8ccd46087d46b561,MITProfessionalX+SysEngxB1+3T2016,problem+block,Question #6,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),13,1543,1353,190,1547,1353,194,2320.45,1996.583333,323.8666667
aa3c32639e374f6184b04d23432240f4,MITProfessionalX+SysEngxB1+3T2016,html+block,,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),14,0,0,0,0,0,0,0,0,0
cc4d9b10594a45d2b0ed7a4a7fdebf18,MITProfessionalX+SysEngxB1+3T2016,problem+block,Question #7,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),15,1543,1353,190,1544,1353,191,1632.5,1480.85,151.65
82901b331caa4f9fb799228bd4995b9a,MITProfessionalX+SysEngxB1+3T2016,problem+block,Question #8,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),16,1543,1353,190,1546,1355,191,2250.65,2037.733333,212.9166667
6fa6f0a0801441f9ba875cc084947c1d,MITProfessionalX+SysEngxB1+3T2016,problem+block,Question #9,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),17,1543,1353,190,1547,1355,192,1246.05,1033,213.05
fc43a64830d54a198fd3bfa6248bac7b,MITProfessionalX+SysEngxB1+3T2016,problem+block,Question #10,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),18,1543,1353,190,1549,1354,195,813.75,723.6,90.15
63371e362f52456b9676ccc240cbe391,MITProfessionalX+SysEngxB1+3T2016,html+block,,5664bd173cd441d092a7dd7337b311b7,Pre-Assessment,29cf9e4cb86d4ed0802f432bd65440c9,Pre-Assessment (15 min--required),19,0,0,0,0,0,0,0,0,0
ffb131d47a33435684f3ffd7bd80959d,MITProfessionalX+SysEngxB1+3T2016,video+block,Video,34beb3cd4f2e4f8fb022bbb608c02284,Welcome (3 min),396ce4f65de344c38d297d8afe6bef9b,Get Started (25 min),23,1546,1345,201,12133,10647,1486,13982.89,11895.75,2087.14
d21968673e924dbabc6ad3c96564d491,MITProfessionalX+SysEngxB1+3T2016,html+block,The Value of System Architecture,34beb3cd4f2e4f8fb022bbb608c02284,Welcome (3 min),396ce4f65de344c38d297d8afe6bef9b,Get Started (25 min),25,132,108,24,181,142,39,218.1,180.9,37.2
8c15ba17ee9a44e19835f2d860dcf497,MITProfessionalX+SysEngxB1+3T2016,html+block,,72abd9ef279c4b2fab9c72f1591c5279,Course Schedule (3 min),396ce4f65de344c38d297d8afe6bef9b,Get Started (25 min),28,1515,1333,182,7474,6564,910,14517.61053,12342.5772,2175.033333
3b18b315fa644bfa8fdf8e51237f55d6,MITProfessionalX+SysEngxB1+3T2016,html+block,,72abd9ef279c4b2fab9c72f1591c5279,Course Schedule (3 min),396ce4f65de344c38d297d8afe6bef9b,Get Started (25 min),29,0,0,0,0,0,0,0,0,0
f078dba67ca54993ba5721ea153690b5,MITProfessionalX+SysEngxB1+3T2016,html+block,,72abd9ef279c4b2fab9c72f1591c5279,Course Schedule (3 min),396ce4f65de344c38d297d8afe6bef9b,Get Started (25 min),30,0,0,0,0,0,0,0,0,0
bc22f00aef3f4f80b9b93519f203b33d,MITProfessionalX+SysEngxB1+3T2016,html+block,,72abd9ef279c4b2fab9c72f1591c5279,Course Schedule (3 min),396ce4f65de344c38d297d8afe6bef9b,Get Started (25 min),31,0,0,0,0,0,0,0,0,0
5388e3e2233d42e99aa7b063074b665c,MITProfessionalX+SysEngxB1+3T2016,html+block,,72abd9ef279c4b2fab9c72f1591c5279,Course Schedule (3 min),396ce4f65de344c38d297d8afe6bef9b,Get Started (25 min),33,990,891,99,1360,1192,168,2239.883333,1768.183333,471.7
499ba5f3182f44b9958d29e26403667e,MITProfessionalX+SysEngxB1+3T2016,html+block,Program Structure,72abd9ef279c4b2fab9c72f1591c5279,Course Schedule (3 min),396ce4f65de344c38d297d8afe6bef9b,Get Started (25 min),35,137,122,15,188,155,33,1236.65,948.4,288.25
9530c4880cf64191b915ac73a3a3b476,MITProfessionalX+SysEngxB1+3T2016,html+block,,055506a2a4524dc2b1632b81b21cc811,Course Collaboration Tools (5 min),396ce4f65de344c38d297d8afe6bef9b,Get Started (25 min),38,1512,1335,177,5717,4991,726,8320.849339,6748.633334,1572.216006
f6989e13709447e0bf768f944ccc6113,MITProfessionalX+SysEngxB1+3T2016,html+block,,055506a2a4524dc2b1632b81b21cc811,Course Collaboration Tools (5 min),396ce4f65de344c38d297d8afe6bef9b,Get Started (25 min),39,0,0,0,0,0,0,0,0,0
