"mod_hex_id","courseID","module.type","desc","L2","L2label","L1","L1label","order","unq_stu","prpstu","session_ct","days_ct","events","avg_evt_stu","totalTime","avgTimeStu","avgTimeEvt","progress-i","recurse-i","forward-o","backward-o","attempts","avgAttempts","points","avgPointStu","maxPointsPrb","loads","avgLoadEvents","load_time","avgLoadTime","plays","avgPlayEvents","play_time","avgPlayTime","pause","avgPauseEvents","pause_time","avgPauseTime","seeks","avgSeekEvents","seek_time","avgSeekTime"
"74ac8efc3d764027b5e1250e91447312","MITProfessionalX+SysEngxB1+3T2016","html+block","","5664bd173cd441d092a7dd7337b311b7","Pre-Assessment","29cf9e4cb86d4ed0802f432bd65440c9","Pre-Assessment (15 min--required)",5,1560,0.996805111821086,4510,4020,8081,5.1801282051282,24810.0887825059,15.9039030657089,3.07017557016531,0,4672,5828,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"b6e8671646bc43a082d388743a950773","MITProfessionalX+SysEngxB1+3T2016","html+block","","5664bd173cd441d092a7dd7337b311b7","Pre-Assessment","29cf9e4cb86d4ed0802f432bd65440c9","Pre-Assessment (15 min--required)",6,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1a8e179d17324618a8595df0f45daf1e","MITProfessionalX+SysEngxB1+3T2016","problem+block","Question #1","5664bd173cd441d092a7dd7337b311b7","Pre-Assessment","29cf9e4cb86d4ed0802f432bd65440c9","Pre-Assessment (15 min--required)",7,1544,0.986581469648562,1544,1544,1549,1.00323834196891,3150.03333333333,2.04017702936097,2.03359156445018,1260,286,1384,162,1549,1.00323834196891,1544,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e6c26dfc22fa402e90d8331751374b98","MITProfessionalX+SysEngxB1+3T2016","problem+block","Question #2","5664bd173cd441d092a7dd7337b311b7","Pre-Assessment","29cf9e4cb86d4ed0802f432bd65440c9","Pre-Assessment (15 min--required)",8,1543,0.98594249201278,1543,1543,1545,1.00129617627997,1696.01666666667,1.09916828688702,1.09774541531823,1340,205,1332,212,1545,1.00129617627997,1543,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6a14c3aae9ea436fa7db56487f1bd46d","MITProfessionalX+SysEngxB1+3T2016","problem+block","Question #3","5664bd173cd441d092a7dd7337b311b7","Pre-Assessment","29cf9e4cb86d4ed0802f432bd65440c9","Pre-Assessment (15 min--required)",9,1543,0.98594249201278,1543,1543,1545,1.00129617627997,2075.46666666667,1.3450853316051,1.34334412081985,1356,188,1331,213,1543,1,1542,0.999351911860013,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86b82f161d2641d7822e8265066ee474","MITProfessionalX+SysEngxB1+3T2016","problem+block","Question #4","5664bd173cd441d092a7dd7337b311b7","Pre-Assessment","29cf9e4cb86d4ed0802f432bd65440c9","Pre-Assessment (15 min--required)",10,1543,0.98594249201278,1543,1543,1544,1.00064808813999,1939.35,1.25686973428386,1.25605569948187,1357,187,1339,205,1544,1.00064808813999,1543,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aa12167942ea4134ac65d4152096f3fb","MITProfessionalX+SysEngxB1+3T2016","problem+block","Question #5","5664bd173cd441d092a7dd7337b311b7","Pre-Assessment","29cf9e4cb86d4ed0802f432bd65440c9","Pre-Assessment (15 min--required)",11,1543,0.98594249201278,1543,1543,1545,1.00129617627997,3346.2,2.16863253402463,2.16582524271845,1371,174,1351,194,1545,1.00129617627997,1543,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639891547dc44f0e9dfad1e39cfe932a","MITProfessionalX+SysEngxB1+3T2016","html+block","","5664bd173cd441d092a7dd7337b311b7","Pre-Assessment","29cf9e4cb86d4ed0802f432bd65440c9","Pre-Assessment (15 min--required)",12,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2571a6cec52749ed8ccd46087d46b561","MITProfessionalX+SysEngxB1+3T2016","problem+block","Question #6","5664bd173cd441d092a7dd7337b311b7","Pre-Assessment","29cf9e4cb86d4ed0802f432bd65440c9","Pre-Assessment (15 min--required)",13,1543,0.98594249201278,1543,1543,1547,1.00259235255995,2320.45,1.50385612443292,1.49996767937944,1328,217,1341,204,1547,1.00259235255995,1543,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aa3c32639e374f6184b04d23432240f4","MITProfessionalX+SysEngxB1+3T2016","html+block","","5664bd173cd441d092a7dd7337b311b7","Pre-Assessment","29cf9e4cb86d4ed0802f432bd65440c9","Pre-Assessment (15 min--required)",14,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
